timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616107604342,1571,User Controller,201,,SPIKE 1-962,,true,,337,242,966,966,null,0,0,0
1616107604505,1405,Create User (signup),201,,SPIKE 1-871,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1404,0,649
1616107604505,1408,Create User (signup),201,,SPIKE 1-962,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1408,0,650
1616107604393,1089,User Controller,201,,SPIKE 1-913,,true,,336,242,965,965,null,0,0,0
1616107604509,973,Create User (signup),201,,SPIKE 1-913,text,true,,336,242,1000,1000,http://localhost:8082/users/create,969,0,128
1616107604428,1213,User Controller,201,,SPIKE 1-876,,true,,337,242,965,965,null,0,0,0
1616107604524,1117,Create User (signup),201,,SPIKE 1-876,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1117,0,83
1616107604448,1316,User Controller,201,,SPIKE 1-856,,true,,337,242,961,961,null,0,0,0
1616107604510,1254,Create User (signup),201,,SPIKE 1-856,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1254,0,128
1616107604442,1045,User Controller,201,,SPIKE 1-862,,true,,336,242,960,960,null,0,0,0
1616107604524,963,Create User (signup),201,,SPIKE 1-862,text,true,,336,242,1000,1000,http://localhost:8082/users/create,963,0,85
1616107604386,1478,User Controller,201,,SPIKE 1-930,,true,,337,242,960,960,null,0,0,0
1616107604510,1354,Create User (signup),201,,SPIKE 1-930,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1351,0,628
1616107604453,1411,User Controller,201,,SPIKE 1-852,,true,,337,242,960,960,null,0,0,0
1616107604513,1351,Create User (signup),201,,SPIKE 1-852,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1348,0,625
1616107604452,1030,User Controller,201,,SPIKE 1-853,,true,,336,242,957,957,null,0,0,0
1616107604510,972,Create User (signup),201,,SPIKE 1-853,text,true,,336,242,1000,1000,http://localhost:8082/users/create,957,0,130
