timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616099573912,21306,User Controller,200,,Load Testing 1-196,,true,,598,463,982,982,null,0,0,0
1616099574116,21102,User Controller,200,,Load Testing 1-790,,true,,598,463,982,982,null,0,0,0
1616099573949,398,Create User (signup),201,,Load Testing 1-196,text,true,,337,240,913,913,http://localhost:8082/users/create,398,0,4
1616099574116,410,Create User (signup),201,,Load Testing 1-790,text,true,,337,240,964,964,http://localhost:8082/users/create,409,0,1
1616099575010,20208,Login User,200,,Load Testing 1-196,text,true,,261,223,982,982,http://localhost:8082/users/login,20208,0,0
1616099574055,21163,User Controller,200,,Load Testing 1-769,,true,,598,463,982,982,null,0,0,0
1616099574056,427,Create User (signup),201,,Load Testing 1-769,text,true,,337,240,948,948,http://localhost:8082/users/create,427,0,0
1616099575010,20208,Login User,200,,Load Testing 1-769,text,true,,261,223,982,982,http://localhost:8082/users/login,20208,0,0
1616099575009,20209,Login User,200,,Load Testing 1-790,text,true,,261,223,982,982,http://localhost:8082/users/login,20209,0,0
1616099573729,21489,User Controller,200,,Load Testing 1-628,,true,,598,463,982,982,null,0,0,0
1616099573731,906,Create User (signup),201,,Load Testing 1-628,text,true,,337,240,993,993,http://localhost:8082/users/create,906,0,80
1616099575009,20209,Login User,200,,Load Testing 1-628,text,true,,261,223,982,982,http://localhost:8082/users/login,20209,0,0
1616099573993,21226,User Controller,200,,Load Testing 1-719,,true,,598,463,980,980,null,0,0,0
1616099573993,439,Create User (signup),201,,Load Testing 1-719,text,true,,337,240,918,918,http://localhost:8082/users/create,439,0,1
1616099575010,20209,Login User,200,,Load Testing 1-719,text,true,,261,223,982,982,http://localhost:8082/users/login,20209,0,0
1616099573779,21471,User Controller,200,,Load Testing 1-266,,true,,597,463,977,977,null,0,0,0
1616099573783,752,Create User (signup),201,,Load Testing 1-266,text,true,,336,240,965,965,http://localhost:8082/users/create,752,0,0
1616099575010,20240,Login User,200,,Load Testing 1-266,text,true,,261,223,977,977,http://localhost:8082/users/login,20240,0,0
1616099573618,21680,User Controller,200,,Load Testing 1-529,,true,,597,463,976,976,null,0,0,0
1616099573747,600,Create User (signup),201,,Load Testing 1-529,text,true,,336,240,913,913,http://localhost:8082/users/create,600,0,34
1616099575010,20288,Login User,200,,Load Testing 1-529,text,true,,261,223,976,976,http://localhost:8082/users/login,20288,0,0
1616099573887,21441,User Controller,200,,Load Testing 1-157,,true,,598,463,975,975,null,0,0,0
1616099573951,582,Create User (signup),201,,Load Testing 1-157,text,true,,337,240,964,964,http://localhost:8082/users/create,582,0,1
1616099575010,20318,Login User,200,,Load Testing 1-157,text,true,,261,223,975,975,http://localhost:8082/users/login,20318,0,0
1616099573698,21651,User Controller,200,,Load Testing 1-608,,true,,597,463,974,974,null,0,0,0
1616099573698,834,Create User (signup),201,,Load Testing 1-608,text,true,,336,240,964,964,http://localhost:8082/users/create,834,0,119
1616099575010,20339,Login User,200,,Load Testing 1-608,text,true,,261,223,974,974,http://localhost:8082/users/login,20339,0,0
1616099573987,21431,User Controller,200,,Load Testing 1-78,,true,,598,463,973,973,null,0,0,0
1616099573987,444,Create User (signup),201,,Load Testing 1-78,text,true,,337,240,918,918,http://localhost:8082/users/create,444,0,1
1616099575010,20408,Login User,200,,Load Testing 1-78,text,true,,261,223,973,973,http://localhost:8082/users/login,20408,0,0
1616099573748,21672,User Controller,200,,Load Testing 1-655,,true,,598,463,972,972,null,0,0,0
1616099573749,728,Create User (signup),201,,Load Testing 1-655,text,true,,337,240,942,942,http://localhost:8082/users/create,728,0,65
1616099575011,20409,Login User,200,,Load Testing 1-655,text,true,,261,223,972,972,http://localhost:8082/users/login,20409,0,0
1616099574161,21297,User Controller,200,,Load Testing 1-818,,true,,598,463,971,971,null,0,0,0
1616099574161,370,Create User (signup),201,,Load Testing 1-818,text,true,,337,240,964,964,http://localhost:8082/users/create,370,0,4
1616099575010,20448,Login User,200,,Load Testing 1-818,text,true,,261,223,971,971,http://localhost:8082/users/login,20448,0,0
1616099574649,20809,User Controller,200,,Load Testing 1-1000,,true,,598,463,970,970,null,0,0,0
1616099574649,60,Create User (signup),201,,Load Testing 1-1000,text,true,,337,240,1000,1000,http://localhost:8082/users/create,60,0,1
1616099575011,20447,Login User,200,,Load Testing 1-1000,text,true,,261,223,970,970,http://localhost:8082/users/login,20447,0,0
1616099574162,21300,User Controller,200,,Load Testing 1-830,,true,,598,463,969,969,null,0,0,0
1616099574163,367,Create User (signup),201,,Load Testing 1-830,text,true,,337,240,964,964,http://localhost:8082/users/create,367,0,0
1616099575010,20452,Login User,200,,Load Testing 1-830,text,true,,261,223,969,969,http://localhost:8082/users/login,20452,0,0
1616099573990,21499,User Controller,200,,Load Testing 1-740,,true,,598,463,968,968,null,0,0,0
1616099573992,439,Create User (signup),201,,Load Testing 1-740,text,true,,337,240,918,918,http://localhost:8082/users/create,439,0,0
1616099575011,20478,Login User,200,,Load Testing 1-740,text,true,,261,223,968,968,http://localhost:8082/users/login,20478,0,0
1616099573993,21539,User Controller,200,,Load Testing 1-752,,true,,598,463,967,967,null,0,0,0
1616099573993,438,Create User (signup),201,,Load Testing 1-752,text,true,,337,240,918,918,http://localhost:8082/users/create,438,0,1
1616099575011,20521,Login User,200,,Load Testing 1-752,text,true,,261,223,967,967,http://localhost:8082/users/login,20521,0,0
1616099573992,21568,User Controller,200,,Load Testing 1-751,,true,,598,463,966,966,null,0,0,0
1616099573993,438,Create User (signup),201,,Load Testing 1-751,text,true,,337,240,918,918,http://localhost:8082/users/create,438,0,1
1616099575011,20549,Login User,200,,Load Testing 1-751,text,true,,261,223,966,966,http://localhost:8082/users/login,20549,0,0
1616099574043,21563,User Controller,200,,Load Testing 1-754,,true,,598,463,965,965,null,0,0,0
1616099574044,662,Create User (signup),201,,Load Testing 1-754,text,true,,337,240,1000,1000,http://localhost:8082/users/create,662,0,1
1616099575011,20595,Login User,200,,Load Testing 1-754,text,true,,261,223,965,965,http://localhost:8082/users/login,20595,0,0
1616099573929,21700,User Controller,200,,Load Testing 1-115,,true,,598,463,964,964,null,0,0,0
1616099573931,500,Create User (signup),201,,Load Testing 1-115,text,true,,337,240,918,918,http://localhost:8082/users/create,500,0,1
1616099575011,20618,Login User,200,,Load Testing 1-115,text,true,,261,223,964,964,http://localhost:8082/users/login,20618,0,0
1616099573995,21717,User Controller,200,,Load Testing 1-68,,true,,598,463,963,963,null,0,0,0
1616099573995,436,Create User (signup),201,,Load Testing 1-68,text,true,,337,240,918,918,http://localhost:8082/users/create,436,0,0
1616099575012,20700,Login User,200,,Load Testing 1-68,text,true,,261,223,963,963,http://localhost:8082/users/login,20700,0,0
1616099573887,21828,User Controller,200,,Load Testing 1-220,,true,,598,463,962,962,null,0,0,0
1616099573952,749,Create User (signup),201,,Load Testing 1-220,text,true,,337,240,1000,1000,http://localhost:8082/users/create,749,0,1
1616099575012,20703,Login User,200,,Load Testing 1-220,text,true,,261,223,962,962,http://localhost:8082/users/login,20703,0,0
1616099573863,21897,User Controller,200,,Load Testing 1-228,,true,,598,463,961,961,null,0,0,0
1616099573919,979,Create User (signup),201,,Load Testing 1-228,text,true,,337,240,1000,1000,http://localhost:8082/users/create,979,0,1
1616099575012,20748,Login User,200,,Load Testing 1-228,text,true,,261,223,961,961,http://localhost:8082/users/login,20748,0,0
1616099573644,22118,User Controller,200,,Load Testing 1-416,,true,,598,463,960,960,null,0,0,0
1616099573760,672,Create User (signup),201,,Load Testing 1-416,text,true,,337,240,918,918,http://localhost:8082/users/create,672,0,68
1616099575012,20750,Login User,200,,Load Testing 1-416,text,true,,261,223,960,960,http://localhost:8082/users/login,20750,0,0
1616099574002,21762,User Controller,200,,Load Testing 1-56,,true,,598,463,959,959,null,0,0,0
1616099574003,428,Create User (signup),201,,Load Testing 1-56,text,true,,337,240,918,918,http://localhost:8082/users/create,428,0,1
1616099575012,20752,Login User,200,,Load Testing 1-56,text,true,,261,223,959,959,http://localhost:8082/users/login,20752,0,0
1616099573684,22095,User Controller,200,,Load Testing 1-361,,true,,598,463,958,958,null,0,0,0
1616099573746,686,Create User (signup),201,,Load Testing 1-361,text,true,,337,240,918,918,http://localhost:8082/users/create,686,0,55
1616099575012,20767,Login User,200,,Load Testing 1-361,text,true,,261,223,958,958,http://localhost:8082/users/login,20767,0,0
1616099573655,22163,User Controller,200,,Load Testing 1-389,,true,,598,463,957,957,null,0,0,0
1616099573748,1149,Create User (signup),201,,Load Testing 1-389,text,true,,337,240,1000,1000,http://localhost:8082/users/create,1148,0,66
1616099575013,20805,Login User,200,,Load Testing 1-389,text,true,,261,223,957,957,http://localhost:8082/users/login,20805,0,0
1616099573998,21859,User Controller,200,,Load Testing 1-757,,true,,598,463,956,956,null,0,0,0
1616099573999,432,Create User (signup),201,,Load Testing 1-757,text,true,,337,240,918,918,http://localhost:8082/users/create,432,0,1
1616099575012,20845,Login User,200,,Load Testing 1-757,text,true,,261,223,956,956,http://localhost:8082/users/login,20845,0,0
1616099573897,21993,User Controller,200,,Load Testing 1-710,,true,,598,463,955,955,null,0,0,0
1616099573919,980,Create User (signup),201,,Load Testing 1-710,text,true,,337,240,1000,1000,http://localhost:8082/users/create,980,0,1
1616099575013,20877,Login User,200,,Load Testing 1-710,text,true,,261,223,955,955,http://localhost:8082/users/login,20877,0,0
1616099573899,22032,User Controller,200,,Load Testing 1-188,,true,,598,463,954,954,null,0,0,0
1616099573902,529,Create User (signup),201,,Load Testing 1-188,text,true,,337,240,918,918,http://localhost:8082/users/create,529,0,1
1616099575014,20917,Login User,200,,Load Testing 1-188,text,true,,261,223,954,954,http://localhost:8082/users/login,20917,0,0
1616099573613,22388,User Controller,200,,Load Testing 1-432,,true,,598,463,953,953,null,0,0,0
1616099573752,733,Create User (signup),201,,Load Testing 1-432,text,true,,337,240,948,948,http://localhost:8082/users/create,733,0,38
1616099575014,20987,Login User,200,,Load Testing 1-432,text,true,,261,223,953,953,http://localhost:8082/users/login,20987,0,0
1616099573885,22116,User Controller,200,,Load Testing 1-160,,true,,598,463,953,953,null,0,0,0
1616099573949,875,Create User (signup),201,,Load Testing 1-160,text,true,,337,240,1000,1000,http://localhost:8082/users/create,390,0,1
1616099575014,20987,Login User,200,,Load Testing 1-160,text,true,,261,223,953,953,http://localhost:8082/users/login,20987,0,0
1616099573910,22135,User Controller,200,,Load Testing 1-706,,true,,598,463,951,951,null,0,0,0
1616099573958,397,Create User (signup),201,,Load Testing 1-706,text,true,,337,240,915,915,http://localhost:8082/users/create,397,0,1
1616099575014,21031,Login User,200,,Load Testing 1-706,text,true,,261,223,951,951,http://localhost:8082/users/login,21031,0,0
1616099574669,21378,User Controller,200,,Load Testing 1-995,,true,,598,463,950,950,null,0,0,0
1616099573875,22172,User Controller,200,,Load Testing 1-218,,true,,598,463,950,950,null,0,0,0
1616099574669,34,Create User (signup),201,,Load Testing 1-995,text,true,,337,240,1000,1000,http://localhost:8082/users/create,33,0,1
1616099573937,494,Create User (signup),201,,Load Testing 1-218,text,true,,337,240,918,918,http://localhost:8082/users/create,494,0,0
1616099575014,21033,Login User,200,,Load Testing 1-995,text,true,,261,223,950,950,http://localhost:8082/users/login,21033,0,0
1616099575014,21033,Login User,200,,Load Testing 1-218,text,true,,261,223,950,950,http://localhost:8082/users/login,21033,0,0
1616099573621,22428,User Controller,200,,Load Testing 1-425,,true,,598,463,948,948,null,0,0,0
1616099573757,944,Create User (signup),201,,Load Testing 1-425,text,true,,337,240,1000,1000,http://localhost:8082/users/create,944,0,28
1616099575014,21035,Login User,200,,Load Testing 1-425,text,true,,261,223,948,948,http://localhost:8082/users/login,21035,0,0
1616099574264,21847,User Controller,200,,Load Testing 1-899,,true,,598,463,947,947,null,0,0,0
1616099574269,434,Create User (signup),201,,Load Testing 1-899,text,true,,337,240,1000,1000,http://localhost:8082/users/create,434,0,39
